system,brand,style,category,canonical_name,canonical_status,supplier_sku,description,size,colour,length_mm,tier2_ex_gst,tier2_inc_gst,carton_qty
aluminium,Aluminium,Prefab panel,Custom,Aluminium Prefab panel,proposed,,Custom Prefabricated Aluminium Panel - See Comments,,,,1.0,1.1,
aluminium,Aluminium,Screw,Screw,Aluminium Screw,proposed,,45mm Timber Screws (To Suits Aluminium Cast Brackets),,,45,0.05,0.06,
aluminium,Aluminium,Slat,Custom,Aluminium Slat,proposed,,Custom Slat Gate 1 - See Comments,,,,269.99,296.99,
aluminium,Aluminium,Gate,Components,Aluminium Gate  Aluminium,proposed,,Sliding Gate Bolt Down Aluminium Track - 6000mm,,Aluminium,6000,49.28,54.21,
aluminium,Aluminium,Post,Post,Aluminium Post 1800 Pearl White,proposed,,50 x 50 Aluminium Post 1800 PEARL WHITE,1800,Pearl White,1800,16.85,18.54,
aluminium,Aluminium,Lifestyle slat,Extrusion,Aluminium Lifestyle slat  Surfmist,proposed,,Lifestyle Screen Topper - 250mm Side Frame Pair - SURFMIST,,Surfmist,250,18.75,20.62,
aluminium,Aluminium,Lifestyle slat,Extrusion,Aluminium Lifestyle slat  Surfmist,proposed,,Lifestyle Slat - 65x16mm - 2400mm long - 3 PACK - SURFMIST,,Surfmist,2400,43.15,47.47,
aluminium,Aluminium,Lifestyle slat,Extrusion,Aluminium Lifestyle slat  Black,proposed,,Lifestyle Screen Topper - 250mm Side Frame Pair - BLACK,,Black,,18.75,20.62,
aluminium,Aluminium,Slat,Components,Aluminium Slat  Monument,proposed,XP-6100-S65-MN,65 x 16.5mm ALI SLAT - (centre web) - 6100mm long - MONUMENT MATT,,Monument,6100,37.29,41.02,1
aluminium,Aluminium,Lifestyle slat,Components,Aluminium Lifestyle slat  Monument,proposed,LT2-SF-0250-MN,Lifestyle Screen Topper - 250mm Side Frame Pair - MONUMENT,,Monument,,19.02,20.92,2
